Index,Title,Views
81,On fait un stage à la Friterie avec Michou (on fait n'importe quoi et on vole la caissière mdrr...),4.4M views
82,On fait des paris dans les rues ! (feat.Joyca),4.9M views
83,Une journée avec moi ! (j'ai fini dans la mer...),3M views
84,"J'aurais jamais cru faire ça un jour... (Clip avec SCH,JUL, L'algé, Fianso, etc...) VDI #2",4.3M views
85,24H pour faire un Film d’action (je prend feu et j’explose une voiture),3.4M views
86,Course contre Michou avec nos Voitures Customisées ! (on a failli faire un accident mdrrr),5M views
87,Je me déguise en Spiderman pour aider les gens (ils me regardent tous bizarrement mdr),2.3M views
88,Il s’est passé des choses inattendues... (VDI #1),3.5M views
89,Une journée en VAN avec LeBouseuh (On est allé pile au milieu de la France mdrr),3.3M views
90,Je vais rencontrer mon futur chien (Enfin ses parents hihihiihihih) [Part.1],3.9M views
91,Je teste mes Limites (je suis éclaté au sol mdrrr),3M views
92,"Balade dans le nord avec le Mich ! (On s'amuse comme on peut mdrrr, on passe à la friterie d’Albert)",5M views
93,All my Sneakers ! Je vous montre mes paires préférées et mes vêtements ! #2,2.2M views
94,Loup Garou avec la Team Crouton ! (Des amitiés se sont brisées),6.1M views
95,"Celui qui perd mange le piment le plus fort du monde ! (Ft. Mich, Wejdene et Riadh)",7M views
96,"24H en Voiture avec moi ! (il s'est passé des trucs de fou, c'était dar en vrai)",7.3M views
97,Je rencontre des inconnus (Y'a des mecs vraiment chelou mdrrrr...),3.8M views
98,J'ai retrouvé des anciens dossiers du Collège/Lycée... (je raconte des Anecdotes) #2,2.6M views
99,"Une journée avec Valouzz (j’ai conduit le RSQ3, il a eu trop peur mdrr)",2.8M views
100,J'ai passé le permis ! (Je l’ai loupé... ou pas MDR),3.1M views
101,Cette vidéo va te faire kiffer les animés ! #2,2.2M views
102,24H menotté avec Michou ! (C’était drôle en vrai),20M views
103,"Je fais le TEST de PURETÉ... (je vous l'avais promis, j'ai trop le seum)",8.3M views
104,DEVINE LE PRIX SINON TU PAIES ! #3 (Feat. Wejdene et Michou),8.8M views
105,"24H pour devenir cuisinier ! (c'est catastrophique, ou pas mdr) + Tuto Cuisine !",4M views
106,FAQ IRL: Je réponds à vos questions (J'ai une crush ? Ma pire honte ? Etc...),1.4M views
107,On a transformé une Voiture en TN ! C'est un truc de fou mdrrr (Ft. Jrartiste),2.4M views
108,Hypnose avec les croûtons au local ! (c'est parti en cacahuète) Ft. PierreCika,6.9M views
109,On va au Festival de Canneseries (c’est improbable mdrrrrrr),2.7M views
110,J'organise l'anniversaire surprise de mon pote Michou ! (C'était incroyable),12M views
111,48H avec Lebouseuh ! (Je casse un PC au local et on s'offre des cadeaux),5.2M views
112,Qui est le plus intelligent entre Michou et Moi ? (Quizz de culture général)logiquement je gagne mdr,2.2M views
113,"On nettoie Paris avec les abonnés ! (1,5M L d'eau sauvé, incroyable)",2.2M views
114,On se fait Hypnotiser avec mes potes ! (J'y aurais jamais cru...),2.6M views
115,Qui sont les meilleurs Croûtons ? (Compétition d'activités dans la villa en Corse),6.2M views
116,Inoxtag - Funkinox ft. Kazzey (Clip officiel),30M views
117,Faire une Musique en une Soiree - Funkinox (feat Kazzey),1.7M views
118,"Vlog spécial vacances (Bateau, acrobranche, pêche...) #Juillet2020",1.8M views
119,Les pires et meilleures anecdotes avec les Abonnés (Feat. Lebouseuh) #2,1.6M views
120,CACHE CACHE dans toute la France ! (Feat. Michou),11M views
121,Je crée mon propre KEBAB / Mini-Stage avec un Kebabiste !! (Jme débrouille bien),3.8M views
122,Parcours du combattant avec TiboinShape ! Qui sera le plus rapide ?,3.5M views
123,Journée Relooking Spécial Anime ! (Challenge),1.3M views
124,"Juste Prix avec les Abonnés, nos cartes bleues ont pleuré (Feat. Michou) #2",2.3M views
125,J'ai fais une dinguerie pour mon Million sur Instagram ! (Vlog/Making of),2.5M views
126,Je vous fais écouter mes 10 PREMIÈRES PRODS ! (je suis débutant mdr),1M views
127,"Mes anecdotes du lycée, je vous dis tout sur ma scolarité (Abonnés, heures de colles, ...)",2.8M views
128,Ma première fois en Réalité Virtuelle ! (j'ai failli détruire ma chambre...),2.1M views
129,24H confiné avec moi ! (On s'occupe comme on peut),6.3M views
130,Faire un clip du futur en 24h (Feat. Flashboy),2.7M views
131,Cette vidéo va te faire kiffer les animés (J’espère),2.6M views
132,Je vous présente le décor de mes rêves ! (Merci c'est grâce à vous),2M views
133,On remix des clips de musiques avec Guizzi ! (Vidéo Chill),720K views
134,All my Sneakers ! Je vous montre toutes mes paires de chaussures (J'en ai vraiment beaucoup 😅),3.4M views
135,"COMPÉTITION ENTRE CROÛTONS AU CANADA ! (PÊCHE, HOCKEY SUR GLACE, BÛCHERONS)",2.2M views
136,TOP CHEF AVEC LA TEAM CROÛTON ! QUE LA MEILLEURE EQUIPE GAGNE !,4.7M views
137,UNE JOURNÉE AVEC LES CROÛTONS (Surprise pour Valouzz + Visite des locaux),3.9M views
138,PILE OU FACE (Feat. Michou à Barcelone),3.6M views
139,DESSIN CHALLENGE AVEC MES POTES ! (Les dessins sont catastrophiques),1M views
140,DEVINE LE PRIX SINON TU PAIES ! (Feat. Michou),4.8M views
141,FORTNITE NE VEUT PLUS DE MOI... LE RETOUR DES BEST OF ! (BEST OF #16),881K views
142,JE RÉPONDS À VOS QUESTIONS ! (Enfin j'essaie parce que y'en a beaucoup...),1.8M views
143,MON PREMIER SHOWCASE ! MILI MILI (Merci !),4.1M views
144,"MON SÉJOUR A LA PGW 2019 ! (Vous étiez trop nombreux, incroyable)",2.2M views
145,QUI DE NOUS 7 ?! (Entre Croûtons),6M views
146,NOS PIRES ANECDOTES (Vrai ou Faux) ! Avec Lebouseuh !,1.5M views
147,MON SETUP 2019 ! (Vous me l'avez trop demandé mdr),2M views
148,ON LIVRE DES MACDO AVEC VALOUZZ SUR FORTNITE BATTLE ROYALE !,661K views
